일교차,감기_lag0,감기_lag1,감기_lag2,감기_lag3,감기_lag4,감기_lag5,감기_lag6
12.0,78083,66947.0,75675.0,85723.0,63673.0,11149.0,110489.0
9.100000000000001,66947,75675.0,85723.0,63673.0,11149.0,110489.0,78549.0
10.599999999999998,75675,85723.0,63673.0,11149.0,110489.0,78549.0,68598.0
9.0,85723,63673.0,11149.0,110489.0,78549.0,68598.0,79541.0
6.0,63673,11149.0,110489.0,78549.0,68598.0,79541.0,85727.0
6.699999999999999,11149,110489.0,78549.0,68598.0,79541.0,85727.0,65991.0
8.500000000000002,110489,78549.0,68598.0,79541.0,85727.0,65991.0,12092.0
11.8,78549,68598.0,79541.0,85727.0,65991.0,12092.0,111200.0
11.4,68598,79541.0,85727.0,65991.0,12092.0,111200.0,77136.0
8.400000000000002,79541,85727.0,65991.0,12092.0,111200.0,77136.0,76393.0
8.5,85727,65991.0,12092.0,111200.0,77136.0,76393.0,14921.0
7.699999999999999,65991,12092.0,111200.0,77136.0,76393.0,14921.0,106439.0
10.100000000000001,12092,111200.0,77136.0,76393.0,14921.0,106439.0,54778.0
13.0,111200,77136.0,76393.0,14921.0,106439.0,54778.0,10619.0
13.0,77136,76393.0,14921.0,106439.0,54778.0,10619.0,99712.0
12.0,76393,14921.0,106439.0,54778.0,10619.0,99712.0,66238.0
12.099999999999998,14921,106439.0,54778.0,10619.0,99712.0,66238.0,58747.0
9.7,106439,54778.0,10619.0,99712.0,66238.0,58747.0,65474.0
7.100000000000001,54778,10619.0,99712.0,66238.0,58747.0,65474.0,72435.0
11.400000000000002,10619,99712.0,66238.0,58747.0,65474.0,72435.0,54896.0
12.100000000000001,99712,66238.0,58747.0,65474.0,72435.0,54896.0,10122.0
9.900000000000002,66238,58747.0,65474.0,72435.0,54896.0,10122.0,96174.0
12.600000000000001,58747,65474.0,72435.0,54896.0,10122.0,96174.0,55626.0
12.799999999999997,65474,72435.0,54896.0,10122.0,96174.0,55626.0,61343.0
11.600000000000001,72435,54896.0,10122.0,96174.0,55626.0,61343.0,64295.0
6.399999999999999,54896,10122.0,96174.0,55626.0,61343.0,64295.0,71700.0
9.600000000000001,10122,96174.0,55626.0,61343.0,64295.0,71700.0,52018.0
11.3,96174,55626.0,61343.0,64295.0,71700.0,52018.0,9884.0
12.5,55626,61343.0,64295.0,71700.0,52018.0,9884.0,92180.0
14.399999999999999,61343,64295.0,71700.0,52018.0,9884.0,92180.0,64953.0
12.0,64295,71700.0,52018.0,9884.0,92180.0,64953.0,58086.0
11.0,71700,52018.0,9884.0,92180.0,64953.0,58086.0,65975.0
3.5,52018,9884.0,92180.0,64953.0,58086.0,65975.0,72655.0
7.600000000000001,9884,92180.0,64953.0,58086.0,65975.0,72655.0,57537.0
6.699999999999999,92180,64953.0,58086.0,65975.0,72655.0,57537.0,11179.0
8.099999999999998,64953,58086.0,65975.0,72655.0,57537.0,11179.0,95592.0
12.700000000000003,58086,65975.0,72655.0,57537.0,11179.0,95592.0,56907.0
11.0,65975,72655.0,57537.0,11179.0,95592.0,56907.0,60345.0
11.2,72655,57537.0,11179.0,95592.0,56907.0,60345.0,65603.0
10.699999999999996,57537,11179.0,95592.0,56907.0,60345.0,65603.0,73835.0
2.8999999999999986,11179,95592.0,56907.0,60345.0,65603.0,73835.0,58432.0
9.3,95592,56907.0,60345.0,65603.0,73835.0,58432.0,11322.0
3.3000000000000007,56907,60345.0,65603.0,73835.0,58432.0,11322.0,96039.0
2.299999999999997,60345,65603.0,73835.0,58432.0,11322.0,96039.0,69252.0
7.400000000000002,65603,73835.0,58432.0,11322.0,96039.0,69252.0,61582.0
4.800000000000001,73835,58432.0,11322.0,96039.0,69252.0,61582.0,71403.0
7.899999999999999,58432,11322.0,96039.0,69252.0,61582.0,71403.0,80544.0
6.699999999999999,11322,96039.0,69252.0,61582.0,71403.0,80544.0,62082.0
1.3999999999999986,96039,69252.0,61582.0,71403.0,80544.0,62082.0,11664.0
4.0,69252,61582.0,71403.0,80544.0,62082.0,11664.0,107224.0
8.400000000000002,61582,71403.0,80544.0,62082.0,11664.0,107224.0,73614.0
5.599999999999998,71403,80544.0,62082.0,11664.0,107224.0,73614.0,64201.0
8.399999999999999,80544,62082.0,11664.0,107224.0,73614.0,64201.0,70672.0
9.799999999999997,62082,11664.0,107224.0,73614.0,64201.0,70672.0,88231.0
7.200000000000003,11664,107224.0,73614.0,64201.0,70672.0,88231.0,68607.0
6.800000000000001,107224,73614.0,64201.0,70672.0,88231.0,68607.0,13627.0
6.099999999999998,73614,64201.0,70672.0,88231.0,68607.0,13627.0,111454.0
4.0,64201,70672.0,88231.0,68607.0,13627.0,111454.0,79875.0
2.5,70672,88231.0,68607.0,13627.0,111454.0,79875.0,70905.0
6.600000000000001,88231,68607.0,13627.0,111454.0,79875.0,70905.0,79964.0
5.5,68607,13627.0,111454.0,79875.0,70905.0,79964.0,88259.0
7.300000000000001,13627,111454.0,79875.0,70905.0,79964.0,88259.0,70012.0
3.599999999999998,111454,79875.0,70905.0,79964.0,88259.0,70012.0,12843.0
1.5,79875,70905.0,79964.0,88259.0,70012.0,12843.0,118712.0
4.899999999999999,70905,79964.0,88259.0,70012.0,12843.0,118712.0,84423.0
6.800000000000004,79964,88259.0,70012.0,12843.0,118712.0,84423.0,76805.0
7.5000000000000036,88259,70012.0,12843.0,118712.0,84423.0,76805.0,82680.0
4.199999999999999,70012,12843.0,118712.0,84423.0,76805.0,82680.0,91428.0
4.900000000000002,12843,118712.0,84423.0,76805.0,82680.0,91428.0,65412.0
1.0,118712,84423.0,76805.0,82680.0,91428.0,65412.0,13701.0
5.599999999999998,84423,76805.0,82680.0,91428.0,65412.0,13701.0,129418.0
6.299999999999997,76805,82680.0,91428.0,65412.0,13701.0,129418.0,88732.0
5.900000000000002,82680,91428.0,65412.0,13701.0,129418.0,88732.0,81476.0
4.300000000000001,91428,65412.0,13701.0,129418.0,88732.0,81476.0,90211.0
7.0000000000000036,65412,13701.0,129418.0,88732.0,81476.0,90211.0,98002.0
8.900000000000002,13701,129418.0,88732.0,81476.0,90211.0,98002.0,73159.0
6.800000000000004,129418,88732.0,81476.0,90211.0,98002.0,73159.0,13294.0
7.899999999999999,88732,81476.0,90211.0,98002.0,73159.0,13294.0,124905.0
6.199999999999999,81476,90211.0,98002.0,73159.0,13294.0,124905.0,83523.0
4.700000000000003,90211,98002.0,73159.0,13294.0,124905.0,83523.0,81529.0
8.0,98002,73159.0,13294.0,124905.0,83523.0,81529.0,16517.0
7.200000000000003,73159,13294.0,124905.0,83523.0,81529.0,16517.0,114729.0
6.599999999999998,13294,124905.0,83523.0,81529.0,16517.0,114729.0,64209.0
5.900000000000002,124905,83523.0,81529.0,16517.0,114729.0,64209.0,13186.0
8.299999999999997,83523,81529.0,16517.0,114729.0,64209.0,13186.0,116598.0
7.599999999999998,81529,16517.0,114729.0,64209.0,13186.0,116598.0,78002.0
7.900000000000002,16517,114729.0,64209.0,13186.0,116598.0,78002.0,66342.0
7.4999999999999964,114729,64209.0,13186.0,116598.0,78002.0,66342.0,73037.0
6.800000000000001,64209,13186.0,116598.0,78002.0,66342.0,73037.0,80435.0
6.899999999999999,13186,116598.0,78002.0,66342.0,73037.0,80435.0,61113.0
8.999999999999996,116598,78002.0,66342.0,73037.0,80435.0,61113.0,11098.0
8.399999999999999,78002,66342.0,73037.0,80435.0,61113.0,11098.0,102678.0
3.900000000000002,66342,73037.0,80435.0,61113.0,11098.0,102678.0,71711.0
3.1999999999999993,73037,80435.0,61113.0,11098.0,102678.0,71711.0,61771.0
5.400000000000002,80435,61113.0,11098.0,102678.0,71711.0,61771.0,70126.0
5.799999999999997,61113,11098.0,102678.0,71711.0,61771.0,70126.0,77025.0
7.800000000000004,11098,102678.0,71711.0,61771.0,70126.0,77025.0,60142.0
5.0,102678,71711.0,61771.0,70126.0,77025.0,60142.0,
5.699999999999999,71711,61771.0,70126.0,77025.0,60142.0,,
10.200000000000003,61771,70126.0,77025.0,60142.0,,,
10.100000000000001,70126,77025.0,60142.0,,,,
9.2,77025,60142.0,,,,,
10.399999999999999,60142,,,,,,
