피부염_lag3,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
482.0,0.0123,0.045,0.38,0.0026,41.0,16.0
383.0,0.0139,0.0365,0.31,0.0024,42.0,16.0
477.0,0.0163,0.0436,0.37,0.0023,44.0,17.0
431.0,0.0161,0.0444,0.32,0.003,40.0,16.0
181.0,0.0124,0.0377,0.33,0.002,41.0,17.0
417.0,0.0105,0.03826241134751773,0.45,0.0021,72.0,25.0
553.0,0.0124,0.0464,0.3,0.0023,38.0,15.0
459.0,0.0118,0.0408,0.37,0.0029,38.0,17.0
300.0,0.0126,0.0355,0.3,0.0029,46.0,18.0
417.0,0.0153,0.0434,0.36,0.0026,47.0,16.0
611.0,0.0156,0.0364,0.38,0.0028,40.0,15.0
333.0,0.0158,0.0414,0.36,0.0027,37.0,18.0
215.0,0.016,0.0394,0.34,0.0026,37.0,12.0
297.0,0.0087,0.0427,0.46,0.0023,44.0,20.0
404.0,0.0074,0.0449,0.3,0.0032,42.0,15.0
427.0,0.0155,0.0444,0.39,0.003,43.0,18.0
139.0,0.0158,0.0431,0.31,0.0023,41.0,15.0
423.0,0.0152,0.04,0.29,0.0024,41.0,15.0
261.0,0.0126,0.0446,0.36,0.003,43.0,16.0
289.0,0.0146,0.0428,0.35,0.0028,36.0,15.0
491.0,0.015,0.0413,0.36,0.0024,48.0,17.0
482.0,0.0094,0.0443,0.38,0.0022,41.0,14.0
502.0,0.0098,0.036,0.36968151147098516,0.0031,53.0,23.0
705.0,0.014,0.0393,0.39,0.0026,41.0,18.0
523.0,0.0145,0.0419,0.33,0.0022,41.0,17.0
355.0,0.0281,0.0317,0.43,0.003,31.0,13.0
460.0,0.0273,0.0394,0.43,0.0027,37.0,12.0
494.0,0.0303,0.0136,0.38,0.003,33.0,12.0
734.0,0.0196,0.0378,0.41,0.0032,26.0,13.0
634.0,0.0334,0.0314,0.41,0.0029,31.0,10.0
852.0,0.0365,0.0103,0.41,0.0021,34.0,12.0
583.0,0.031,0.03826241134751773,0.47,0.0033,33.0,15.0
580.0,0.0325,0.018,0.36,0.0031,28.0,12.0
444.0,0.0392,0.0218,0.44,0.0027,35.0,15.0
500.0,0.0241,0.0303,0.33,0.0026,30.0,14.0
777.0,0.0267,0.0362,0.37,0.0028,29.0,12.0
434.0,0.0272,0.0375,0.41,0.0032,29.0,14.0
168.0,0.0245,0.0386,0.4,0.0032,31.0,11.0
267.0,0.0146,0.046,0.41,0.0025,29.0,10.0
492.0,0.009,0.032,0.35,0.004,17.0,7.0
492.0,0.0283,0.0356,0.39,0.003,26.0,12.0
181.0,0.0297,0.0346,0.43,0.0034,34.0,16.0
561.0,0.0284,0.0347,0.35,0.003,31.0,11.0
513.0,0.0242,0.0342,0.27,0.0026,29.0,11.0
353.0,0.0263,0.0374,0.48,0.0031,28.0,11.0
366.0,0.0215,0.0384,0.33,0.0025,28.0,13.0
640.0,0.0268,0.0349,0.4,0.0026,31.0,10.0
609.0,0.0147,0.0465,0.39,0.0024,29.0,10.0
397.0,0.0168,0.0439,0.45,0.0027,25.0,11.0
287.0,0.0233,0.0384,0.4,0.003,29.0,14.0
405.0,0.0519,0.0077,0.59,0.003,49.0,20.0
449.0,0.0217,0.035,0.35,0.0035,41.0,15.0
388.0,0.0175,0.0442,0.38,0.0036,34.0,17.0
442.0,0.0321,0.035,0.45,0.0035,39.0,16.0
529.0,0.0237,0.0417,0.39,0.0031,37.0,18.0
684.0,0.0378,0.0182,0.44,0.0029,48.0,17.0
472.0,0.0275,0.0347,0.46,0.0036,41.0,18.0
616.0,0.0283,0.0421,0.38,0.0036,38.0,17.0
370.0,0.044,0.03,0.47,0.0033,46.0,19.0
407.0,0.0226,0.0353,0.33,0.0029,38.0,17.0
615.0,0.034,0.03826241134751773,0.5,0.0033,41.0,23.0
136.0,0.0275,0.0385,0.45,0.0037,41.0,20.0
203.0,0.0245,0.0417,0.41,0.0037,41.0,16.0
341.0,0.0132,0.0444,0.5,0.0025,36.0,14.0
424.0,0.0244,0.0423,0.4,0.0033,32.0,17.0
139.0,0.0267,0.0416,0.44,0.0039,43.0,20.0
320.0,0.0261,0.0385,0.36,0.0033,38.0,17.0
462.0,0.0225,0.0394,0.26,0.0029,37.0,15.0
300.0,0.0234,0.0422,0.49,0.0035,38.0,16.0
294.0,0.0107,0.0483,0.34,0.0034,35.0,12.0
507.0,0.0236,0.0413,0.39,0.0029,41.0,16.0
421.0,0.018,0.0434,0.41,0.0026,33.0,15.0
503.0,0.0157,0.0469,0.56,0.0032,36.0,16.0
673.0,0.0189,0.0464,0.38,0.0033,36.0,18.0
460.0,0.0191,0.0456,0.33,0.0028,36.0,17.0
300.0,0.0184,0.0416,0.39,0.0028,43.0,21.0
418.0,0.019,0.0466,0.44,0.0027,50.0,24.0
540.0,0.0131,0.0418,0.3,0.0029,40.0,18.0
621.0,0.0127,0.0409,0.36,0.0029,38.0,22.0
583.0,0.0218,0.0329,0.35,0.0026,40.0,19.0
715.0,0.0123,0.0376,0.27,0.0025,40.0,22.0
397.0,0.0187,0.0466,0.4,0.0029,45.0,24.0
530.0,0.0183,0.0466,0.31,0.003,41.0,22.0
412.0,0.0256,0.0407,0.37,0.0028,49.0,24.0
424.0,0.0163,0.0475,0.37,0.0027,39.0,24.0
593.0,0.0161,0.0462,0.31,0.0025,40.0,22.0
676.0,0.0207,0.034,0.32,0.0028,47.0,21.0
172.0,0.0079,0.0496,0.36,0.0028,37.0,18.0
175.0,0.0125,0.047,0.34,0.0026,41.0,24.0
425.0,0.0038,0.0403,0.36968151147098516,0.002,35.0,16.0
443.0,0.0146,0.0451,0.48,0.0029,40.0,19.0
241.0,0.0197,0.0447,0.37,0.0027,37.0,21.0
480.0,0.0139,0.049,0.28,0.003,42.0,23.0
492.0,0.0138,0.0433,0.21,0.0026,40.0,19.0
305.0,0.0169,0.0476,0.36,0.0032,44.0,25.0
308.0,0.0128,0.0371,0.27,0.0021,40.0,20.0
467.0,0.0183,0.0446,0.35,0.0023,44.0,21.0
9.0,0.0105,0.0477,0.35,0.002,41.0,23.0
9.0,0.0113,0.0451,0.36968151147098516,0.003,38.0,20.0
35.0,0.0142,0.0467,0.35,0.0031,44.0,21.0
11.0,0.0091,0.0192,0.35,0.0026,14.0,6.0
13.0,0.0117,0.0184,0.34,0.0024,11.0,3.0
22.0,0.0116,0.0189,0.35,0.0022,12.0,5.0
22.0,0.0086,0.0237,0.27,0.0024,4.0,2.0
31.0,0.0085,0.0243,0.27,0.002,8.0,4.0
36.0,0.0118,0.0173,0.33,0.0024,16.0,6.0
23.0,0.0099,0.0251,0.27,0.0025,7.0,3.0
21.0,0.0124,0.0213,0.29,0.0026,12.0,6.0
14.0,0.0105,0.0221,0.33,0.0022,11.0,5.0
16.0,0.0076,0.0194,0.26,0.0022,11.0,4.0
47.0,0.0109,0.0206,0.35,0.0025,17.0,5.0
5.0,0.0053,0.0286,0.31,0.002,8.0,2.0
20.0,0.0143,0.0168,0.33,0.0022,11.0,3.0
11.0,0.0089,0.023,0.31,0.0022,11.0,6.0
11.0,0.0139,0.0166,0.33,0.0023,9.0,5.0
10.0,0.0098,0.0222,0.32,0.0027,10.0,7.0
9.0,0.0108,0.0215,0.26,0.0021,10.0,6.0
12.0,0.0108,0.0265,0.21,0.0025,14.0,4.0
35.0,0.0111,0.0185,0.34,0.0027,14.0,5.0
14.0,0.0108,0.0177,0.38,0.0024,9.0,3.0
24.0,0.0107,0.0216,0.27,0.002,13.0,5.0
16.0,0.0132,0.0256,0.37,0.0019,9.0,4.0
420.0,0.009,0.023,0.34,0.0019,14.0,5.0
283.0,0.0086,0.0214,0.36968151147098516,0.003,9.0,4.0
222.0,0.0076,0.0272,0.33,0.0014,10.0,3.0
281.0,0.0082,0.0413,0.39,0.002,18.0,7.0
354.0,0.0055,0.0362,0.26,0.0024,9.0,6.0
261.0,0.0063,0.0391,0.35,0.0026,15.0,8.0
383.0,0.0066,0.0355,0.31,0.002,5.0,2.0
501.0,0.0074,0.0447,0.27,0.0019,14.0,3.0
359.0,0.0061,0.0403,0.26,0.0025,14.0,8.0
332.0,0.0086,0.0443,0.27,0.0025,12.0,8.0
406.0,0.0092,0.0428,0.34,0.002,16.0,9.0
224.0,0.0063,0.0357,0.26,0.0021,15.0,14.0
265.0,0.0089,0.0355,0.35,0.0022,12.0,8.0
411.0,0.0081,0.0405,0.34,0.0018,13.0,8.0
82.0,0.0082,0.0402,0.32,0.0022,5.0,1.0
148.0,0.0037,0.0465,0.24,0.0018,10.0,6.0
265.0,0.004,0.0431,0.28,0.0013,5.0,1.0
291.0,0.0111,0.0344,0.33,0.0021,15.0,8.0
256.0,0.0064,0.0439,0.31,0.0025,13.0,10.0
81.0,0.0055,0.0443,0.25,0.0021,12.0,8.0
333.0,0.0067,0.0445,0.2,0.0024,15.0,8.0
180.0,0.0081,0.0396,0.33,0.0024,32.0,8.0
177.0,0.006,0.0381,0.34,0.002,4.0,1.0
369.0,0.0103,0.0408,0.38,0.0018,13.0,9.0
299.0,0.0064,0.0406,0.33,0.0018,14.0,7.0
17.0,0.0063,0.0422,0.36968151147098516,0.0022,10.0,7.0
12.0,0.0065,0.0431,0.31,0.0021,12.0,9.0
11.0,0.0063,0.0435,0.25,0.0018,7.0,2.0
2.0,0.0123,0.0364,0.37,0.0023,31.0,26.0
7.0,0.0128,0.0417,0.42,0.0019,37.0,23.0
17.0,0.0101,0.0342,0.29,0.0025,27.0,20.0
20.0,0.0092,0.0315,0.36,0.0025,32.0,27.0
21.0,0.0141,0.0389,0.36,0.0021,32.0,23.0
26.0,0.0152,0.0398,0.42,0.0019,38.0,29.0
21.0,0.0112,0.0372,0.27,0.0024,27.0,21.0
14.0,0.0113,0.0422,0.29,0.0026,33.0,24.0
6.0,0.0122,0.0419,0.36,0.0019,36.0,27.0
25.0,0.012,0.0404,0.36,0.0029,26.904448539089234,15.19673855865334
39.0,0.0132,0.0401,0.32,0.0019,33.0,15.19673855865334
5.0,0.0049,0.0453,0.19,0.0022,25.0,17.0
2.0,0.0107,0.0336,0.29,0.0021,33.0,27.0
17.0,0.0111,0.039,0.36,0.0021,32.0,27.0
20.0,0.01,0.0438,0.4,0.002,28.0,24.0
8.0,0.0154,0.036,0.34,0.0022,28.0,24.0
61.0,0.0124,0.0427,0.36,0.0025,33.0,29.0
25.0,0.0069,0.0455,0.27,0.0021,32.0,22.0
28.0,0.0087,0.0436,0.18,0.0023,30.0,24.0
7.0,0.0078,0.0394,0.25,0.0016,28.0,18.0
11.0,0.0078,0.0428,0.28,0.0019,30.0,26.0
43.0,0.0138,0.0385,0.39,0.0021,30.0,22.0
595.0,0.0079,0.0374,0.37,0.0018,34.0,23.0
875.0,0.0093,0.0373,0.36968151147098516,0.002,25.0,19.0
644.0,0.01,0.0427,0.34,0.0025,32.0,24.0
417.0,0.0264,0.021,0.46,0.0029,32.0,24.0
493.0,0.0271,0.0327,0.46,0.0031,42.0,23.0
828.0,0.0228,0.0266,0.35,0.0031,32.0,18.0
561.0,0.0184,0.0329,0.42,0.003,31.0,22.0
756.0,0.0291,0.0314,0.42,0.0029,34.0,21.0
978.0,0.0285,0.0328,0.48,0.0028,38.0,25.0
485.0,0.0295,0.0224,0.35,0.0029,37.0,20.0
664.0,0.0257,0.0327,0.37,0.0031,35.0,23.0
532.0,0.0352,0.0224,0.44,0.0026,41.0,26.0
673.0,0.0237,0.0144,0.39,0.0023,26.904448539089234,15.19673855865334
814.0,0.0295,0.012,0.41,0.002,28.0,15.19673855865334
182.0,0.0111,0.0255,0.35,0.0034,26.0,17.0
215.0,0.0254,0.0231,0.35,0.0026,36.0,25.0
296.0,0.0206,0.033,0.42,0.003,34.0,25.0
551.0,0.0261,0.0315,0.52,0.0028,33.0,22.0
534.0,0.0276,0.0291,0.42,0.0027,30.0,22.0
866.0,0.0291,0.0309,0.44,0.0032,38.0,26.0
577.0,0.0253,0.0329,0.35,0.0026,36.0,21.0
622.0,0.0226,0.0337,0.23,0.0027,34.0,22.0
415.0,0.0156,0.037,0.31,0.0022,32.0,18.0
393.0,0.0202,0.0362,0.36,0.0023,33.0,24.0
607.0,0.0242,0.032,0.46,0.0025,26.904448539089234,21.0
454.0,0.0134,0.0406,0.42,0.0025,35.0,22.0
634.0,0.0159,0.0368,0.36968151147098516,0.003,30.0,18.0
476.0,0.0252,0.0318,0.43,0.0031,37.0,22.0
293.0,0.0243,0.05,0.46,0.0036,48.0,31.0
393.0,0.0272,0.0521,0.47,0.0037,61.0,32.0
655.0,0.0237,0.0401,0.37,0.0037,54.0,28.0
397.0,0.0201,0.0505,0.44,0.0036,42.0,26.0
567.0,0.03,0.0468,0.45,0.0036,46.0,25.0
769.0,0.0287,0.0516,0.52,0.0038,50.0,28.0
412.0,0.0399,0.0296,0.42,0.0032,54.0,27.0
500.0,0.0326,0.0486,0.46,0.0037,46.0,26.0
507.0,0.0494,0.031,0.5,0.0031,50.0,29.0
399.0,0.0299,0.0491,0.47,0.0041,47.0,33.0
632.0,0.0215,0.0568,0.41,0.0034,43.0,25.0
734.0,0.028,0.0379,0.44,0.0031,47.0,29.0
153.0,0.0165,0.0473,0.39,0.0038,49.0,27.0
183.0,0.0273,0.045,0.51,0.0036,49.0,30.0
425.0,0.0269,0.0448,0.44,0.0027,52.0,29.0
449.0,0.0306,0.0454,0.55,0.0037,48.0,27.0
267.0,0.0315,0.0427,0.49,0.0036,44.0,28.0
506.0,0.0311,0.0461,0.43,0.0032,48.0,26.0
473.0,0.0295,0.0436,0.31,0.0032,47.0,29.0
311.0,0.0303,0.049,0.51,0.0039,52.0,30.0
284.0,0.0305,0.0442,0.48,0.0031,47.0,31.0
493.0,0.0334,0.0371,0.54,0.0031,65.0,28.0
244.0,0.0213,0.0496,0.51,0.003,48.0,27.0
439.0,0.0211,0.0482,0.36968151147098516,0.0035,44.0,26.0
546.0,0.0314,0.0446,0.53,0.004,51.0,28.0
352.0,0.0226,0.0439,0.49,0.0033,51.0,34.0
418.0,0.0251,0.0498,0.48,0.0038,62.0,43.0
278.0,0.0269,0.0525,0.49,0.0041,70.0,38.0
382.0,0.0219,0.0418,0.38,0.0037,66.0,39.0
507.0,0.0257,0.0539,0.44,0.0034,50.0,31.0
630.0,0.0263,0.0517,0.48,0.0054,51.0,36.0
437.0,0.0313,0.0337,0.42,0.0031,59.0,37.0
569.0,0.0317,0.051,0.46,0.0037,51.0,27.0
313.0,0.0362,0.043,0.47,0.003,53.0,30.0
381.0,0.0259,0.0408,0.44,0.0029,49.0,29.0
523.0,0.0322,0.0513,0.56,0.0041,62.0,36.0
121.0,0.014,0.0513,0.39,0.004,54.0,30.0
115.0,0.0338,0.046,0.48,0.0039,54.0,30.0
210.0,0.0219,0.0484,0.46,0.0031,46.0,28.0
299.0,0.0248,0.0527,0.55,0.0042,51.0,28.0
376.0,0.0294,0.0453,0.5,0.0044,48.0,31.0
555.0,0.0313,0.0481,0.53,0.0042,54.0,32.0
388.0,0.0301,0.0492,0.45,0.0035,52.0,29.0
425.0,0.0272,0.0469,0.3,0.0031,49.0,29.0
272.0,0.0224,0.0472,0.44,0.0026,55.0,32.0
268.0,0.0235,0.0521,0.44,0.0029,50.0,30.0
377.0,0.0277,0.0473,0.46,0.003,56.0,28.0
512.0,0.0157,0.055,0.48,0.0027,47.0,26.0
391.0,0.0209,0.0358,0.36968151147098516,0.0032,49.0,32.0
278.0,0.0246,0.05,0.51,0.0043,53.0,30.0
319.0,0.0288,0.0542,0.51,0.0045,56.0,24.0
447.0,0.0234,0.0432,0.39,0.004,54.0,24.0
520.0,0.0231,0.0492,0.5,0.0041,43.0,26.0
343.0,0.0337,0.0473,0.49,0.0043,46.0,22.0
389.0,0.0222,0.0585,0.43,0.0036,44.0,24.0
589.0,0.03,0.0534,0.45,0.0038,48.0,24.0
432.0,0.0302,0.0447,0.44,0.0037,59.0,26.0
590.0,0.0294,0.0486,0.53,0.0044,49.0,29.0
363.0,0.0478,0.0363,0.53,0.0037,54.0,29.0
335.0,0.0236,0.0435,0.43,0.003,45.0,25.0
592.0,0.0314,0.0516,0.57,0.0041,52.0,28.0
133.0,0.0242,0.0568,0.49,0.0061,46.0,30.0
133.0,0.0114,0.0605,0.36,0.0042,46.0,23.0
232.0,0.0185,0.0565,0.42,0.0032,49.0,24.0
349.0,0.022,0.0573,0.51,0.0049,47.0,24.0
429.0,0.0258,0.0525,0.48,0.0048,43.0,25.0
393.0,0.0297,0.0524,0.54,0.0047,54.0,29.0
419.0,0.0286,0.0521,0.43,0.0038,48.0,25.0
246.0,0.0219,0.0581,0.48,0.0047,50.0,28.0
