감기_lag1,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
5846.0,0.0125,0.047,0.34,0.0026,41.0,24.0
4014.0,0.0038,0.0403,0.36968151147098516,0.002,35.0,16.0
4835.0,0.0079,0.0496,0.36,0.0028,37.0,18.0
5797.0,0.0163,0.0475,0.37,0.0027,39.0,24.0
7193.0,0.0184,0.0416,0.39,0.0028,43.0,21.0
5439.0,0.019,0.0466,0.44,0.0027,50.0,24.0
2911.0,0.0131,0.0418,0.3,0.0029,40.0,18.0
5548.0,0.0127,0.0409,0.36,0.0029,38.0,22.0
4683.0,0.0218,0.0329,0.35,0.0026,40.0,19.0
5552.0,0.0161,0.0462,0.31,0.0025,40.0,22.0
5355.0,0.0187,0.0466,0.4,0.0029,45.0,24.0
7039.0,0.0207,0.034,0.32,0.0028,47.0,21.0
9484.0,0.0183,0.0466,0.31,0.003,41.0,22.0
6671.0,0.0256,0.0407,0.37,0.0028,49.0,24.0
189.0,0.0123,0.0376,0.27,0.0025,40.0,22.0
214.0,0.0108,0.0177,0.38,0.0024,9.0,3.0
354.0,0.0139,0.0166,0.33,0.0023,9.0,5.0
542.0,0.0098,0.0222,0.32,0.0027,10.0,7.0
454.0,0.0108,0.0215,0.26,0.0021,10.0,6.0
577.0,0.0108,0.0265,0.21,0.0025,14.0,4.0
561.0,0.0111,0.0185,0.34,0.0027,14.0,5.0
839.0,0.0107,0.0216,0.27,0.002,13.0,5.0
464.0,0.0132,0.0256,0.37,0.0019,9.0,4.0
449.0,0.009,0.023,0.34,0.0019,14.0,5.0
1234.0,0.0086,0.0214,0.36968151147098516,0.003,9.0,4.0
919.0,0.0089,0.023,0.31,0.0022,11.0,6.0
514.0,0.0076,0.0272,0.33,0.0014,10.0,3.0
794.0,0.0053,0.0286,0.31,0.002,8.0,2.0
955.0,0.0118,0.0173,0.33,0.0024,16.0,6.0
1146.0,0.0117,0.0184,0.34,0.0024,11.0,3.0
728.0,0.0116,0.0189,0.35,0.0022,12.0,5.0
387.0,0.0086,0.0237,0.27,0.0024,4.0,2.0
767.0,0.0091,0.0192,0.35,0.0026,14.0,6.0
620.0,0.0143,0.0168,0.33,0.0022,11.0,3.0
811.0,0.0085,0.0243,0.27,0.002,8.0,4.0
1034.0,0.0109,0.0206,0.35,0.0025,17.0,5.0
1139.0,0.0099,0.0251,0.27,0.0025,7.0,3.0
1388.0,0.0124,0.0213,0.29,0.0026,12.0,6.0
938.0,0.0105,0.0221,0.33,0.0022,11.0,5.0
986.0,0.0076,0.0194,0.26,0.0022,11.0,4.0
1044.0,0.006,0.0381,0.34,0.002,4.0,1.0
